ip, bytes, time, TTL
216.58.222.36,32,108,53
216.58.222.36,32,88,53
216.58.222.36,32,78,53
216.58.222.36,32,65,53
216.58.222.36,32,64,53
216.58.222.36,32,64,53
216.58.222.36,32,65,53
216.58.222.36,32,65,53
216.58.222.36,32,65,53
216.58.222.36,32,65,53
216.58.222.36,32,66,53
216.58.222.36,32,66,53
216.58.222.36,32,66,53
216.58.222.36,32,65,53
216.58.222.36,32,65,53
216.58.222.36,32,67,53
216.58.222.36,32,64,53
216.58.222.36,32,64,53
NA,NA,NA,NA
216.58.222.36,32,64,53
216.58.222.36,32,96,53
216.58.222.36,32,87,53
216.58.222.36,32,64,53
216.58.222.36,32,64,53
216.58.222.36,32,87,53
216.58.222.36,32,65,53
216.58.222.36,32,66,53
216.58.222.36,32,64,53
216.58.222.36,32,68,53
216.58.222.36,32,64,53
216.58.222.36,32,65,53
216.58.222.36,32,65,53
216.58.222.36,32,68,53
216.58.222.36,32,66,53
216.58.222.36,32,122,53
216.58.222.36,32,64,53
216.58.222.36,32,70,53
216.58.222.36,32,84,53
216.58.222.36,32,76,53
216.58.222.36,32,67,53
216.58.222.36,32,85,53
216.58.222.36,32,86,53
216.58.222.36,32,217,53
216.58.222.36,32,66,53
216.58.222.36,32,97,53
216.58.222.36,32,75,53
216.58.222.36,32,68,53
216.58.222.36,32,75,53
216.58.222.36,32,87,53
216.58.222.36,32,66,53
216.58.222.36,32,68,53
216.58.222.36,32,69,53
216.58.222.36,32,64,53
216.58.222.36,32,88,53
216.58.222.36,32,65,53
216.58.222.36,32,64,53
216.58.222.36,32,66,53
216.58.222.36,32,85,53
216.58.222.36,32,67,53
216.58.222.36,32,70,53
216.58.222.36,32,109,53
216.58.222.36,32,64,53
216.58.222.36,32,64,53
216.58.222.36,32,63,53
216.58.222.36,32,65,53
216.58.222.36,32,64,53
216.58.222.36,32,68,53
216.58.222.36,32,65,53
216.58.222.36,32,67,53
216.58.222.36,32,65,53
216.58.222.36,32,65,53
216.58.222.36,32,65,53
216.58.222.36,32,64,53
216.58.222.36,32,65,53
216.58.222.36,32,64,53
216.58.222.36,32,64,53
216.58.222.36,32,64,53
216.58.222.36,32,65,53
216.58.222.36,32,64,53
216.58.222.36,32,65,53
216.58.222.36,32,64,53
216.58.222.36,32,64,53
216.58.222.36,32,64,53
216.58.222.36,32,65,53
216.58.222.36,32,78,53
216.58.222.36,32,71,53
216.58.222.36,32,65,53
216.58.222.36,32,64,53
216.58.222.36,32,65,53
216.58.222.36,32,64,53
216.58.222.36,32,64,53
216.58.222.36,32,68,53
216.58.222.36,32,64,53
216.58.222.36,32,67,53
216.58.222.36,32,81,53
216.58.222.36,32,64,53
216.58.222.36,32,64,53
216.58.222.36,32,64,53
216.58.222.36,32,68,53
216.58.222.36,32,64,53
216.58.222.36,32,63,53
216.58.222.36,32,64,53
216.58.222.36,32,65,53
216.58.222.36,32,65,53
216.58.222.36,32,64,53
216.58.222.36,32,66,53
216.58.222.36,32,66,53
216.58.222.36,32,65,53
216.58.222.36,32,65,53
216.58.222.36,32,64,53
216.58.222.36,32,67,53
216.58.222.36,32,65,53
216.58.222.36,32,64,53
216.58.222.36,32,64,53
216.58.222.36,32,64,53
216.58.222.36,32,64,53
216.58.222.36,32,67,53
216.58.222.36,32,64,53
216.58.222.36,32,64,53
216.58.222.36,32,65,53
216.58.222.36,32,64,53
216.58.222.36,32,64,53
216.58.222.36,32,65,53
216.58.222.36,32,64,53
216.58.222.36,32,64,53
216.58.222.36,32,77,53
216.58.222.36,32,64,53
216.58.222.36,32,64,53
216.58.222.36,32,69,53
216.58.222.36,32,65,53
216.58.222.36,32,65,53
216.58.222.36,32,66,53
216.58.222.36,32,64,53
216.58.222.36,32,65,53
216.58.222.36,32,65,53
216.58.222.36,32,65,53
216.58.222.36,32,64,53
216.58.222.36,32,66,53
216.58.222.36,32,67,53
216.58.222.36,32,64,53
216.58.222.36,32,66,53
216.58.222.36,32,65,53
216.58.222.36,32,64,53
216.58.222.36,32,64,53
216.58.222.36,32,64,53
216.58.222.36,32,64,53
216.58.222.36,32,64,53
216.58.222.36,32,65,53
216.58.222.36,32,64,53
216.58.222.36,32,64,53
216.58.222.36,32,65,53
216.58.222.36,32,64,53
216.58.222.36,32,67,53
216.58.222.36,32,64,53
216.58.222.36,32,64,53
216.58.222.36,32,63,53
216.58.222.36,32,64,53
216.58.222.36,32,64,53
216.58.222.36,32,65,53
216.58.222.36,32,64,53
216.58.222.36,32,65,53
216.58.222.36,32,64,53
216.58.222.36,32,64,53
216.58.222.36,32,64,53
216.58.222.36,32,64,53
216.58.222.36,32,135,53
216.58.222.36,32,65,53
216.58.222.36,32,63,53
216.58.222.36,32,64,53
216.58.222.36,32,150,53
216.58.222.36,32,64,53
216.58.222.36,32,64,53
216.58.222.36,32,65,53
216.58.222.36,32,66,53
216.58.222.36,32,64,53
216.58.222.36,32,68,53
216.58.222.36,32,64,53
216.58.222.36,32,64,53
216.58.222.36,32,64,53
216.58.222.36,32,64,53
216.58.222.36,32,64,53
216.58.222.36,32,64,53
216.58.222.36,32,64,53
216.58.222.36,32,67,53
216.58.222.36,32,64,53
216.58.222.36,32,67,53
216.58.222.36,32,64,53
216.58.222.36,32,64,53
216.58.222.36,32,64,53
216.58.222.36,32,65,53
216.58.222.36,32,64,53
216.58.222.36,32,68,53
216.58.222.36,32,65,53
216.58.222.36,32,65,53
216.58.222.36,32,64,53
216.58.222.36,32,67,53
216.58.222.36,32,67,53
216.58.222.36,32,64,53
216.58.222.36,32,65,53
216.58.222.36,32,66,53
216.58.222.36,32,63,53
216.58.222.36,32,64,53
216.58.222.36,32,65,53
216.58.222.36,32,78,53
216.58.222.36,32,81,53
216.58.222.36,32,67,53
216.58.222.36,32,65,53
216.58.222.36,32,64,53
216.58.222.36,32,72,53
216.58.222.36,32,64,53
216.58.222.36,32,64,53
216.58.222.36,32,64,53
216.58.222.36,32,65,53
216.58.222.36,32,64,53
216.58.222.36,32,67,53
216.58.222.36,32,64,53
216.58.222.36,32,65,53
216.58.222.36,32,79,53
216.58.222.36,32,90,53
216.58.222.36,32,67,53
216.58.222.36,32,89,53
216.58.222.36,32,65,53
216.58.222.36,32,88,53
216.58.222.36,32,78,53
216.58.222.36,32,100,53
216.58.222.36,32,75,53
216.58.222.36,32,201,53
216.58.222.36,32,65,53
216.58.222.36,32,179,53
216.58.222.36,32,85,53
216.58.222.36,32,199,53
216.58.222.36,32,79,53
216.58.222.36,32,117,53
216.58.222.36,32,64,53
216.58.222.36,32,64,53
216.58.222.36,32,66,53
216.58.222.36,32,77,53
216.58.222.36,32,63,53
216.58.222.36,32,63,53
