ip, bytes, time, TTL
216.58.222.36,32,156,53
216.58.222.36,32,80,53
216.58.222.36,32,77,53
216.58.222.36,32,77,53
216.58.222.36,32,80,53
216.58.222.36,32,63,53
216.58.222.36,32,101,53
216.58.222.36,32,114,53
216.58.222.36,32,71,53
216.58.222.36,32,79,53
216.58.222.36,32,96,53
216.58.222.36,32,68,53
216.58.222.36,32,71,53
216.58.222.36,32,65,53
216.58.222.36,32,120,53
216.58.222.36,32,74,53
216.58.222.36,32,73,53
216.58.222.36,32,109,53
216.58.222.36,32,68,53
216.58.222.36,32,66,53
216.58.222.36,32,64,53
216.58.222.36,32,69,53
216.58.222.36,32,66,53
216.58.222.36,32,67,53
216.58.222.36,32,64,53
216.58.222.36,32,63,53
216.58.222.36,32,63,53
216.58.222.36,32,66,53
216.58.222.36,32,63,53
216.58.222.36,32,75,53
216.58.222.36,32,69,53
216.58.222.36,32,65,53
216.58.222.36,32,64,53
216.58.222.36,32,64,53
216.58.222.36,32,63,53
216.58.222.36,32,64,53
216.58.222.36,32,67,53
216.58.222.36,32,63,53
216.58.222.36,32,66,53
216.58.222.36,32,366,53
216.58.222.36,32,288,53
216.58.222.36,32,422,53
216.58.222.36,32,64,53
216.58.222.36,32,63,53
216.58.222.36,32,64,53
216.58.222.36,32,69,53
216.58.222.36,32,67,53
216.58.222.36,32,66,53
216.58.222.36,32,64,53
216.58.222.36,32,64,53
216.58.222.36,32,67,53
216.58.222.36,32,63,53
216.58.222.36,32,78,53
216.58.222.36,32,79,53
216.58.222.36,32,70,53
216.58.222.36,32,64,53
216.58.222.36,32,63,53
216.58.222.36,32,67,53
216.58.222.36,32,63,53
216.58.222.36,32,70,53
216.58.222.36,32,64,53
216.58.222.36,32,63,53
216.58.222.36,32,67,53
216.58.222.36,32,83,53
216.58.222.36,32,78,53
216.58.222.36,32,64,53
216.58.222.36,32,66,53
216.58.222.36,32,69,53
216.58.222.36,32,87,53
216.58.222.36,32,65,53
216.58.222.36,32,88,53
216.58.222.36,32,83,53
216.58.222.36,32,105,53
216.58.222.36,32,108,53
216.58.222.36,32,78,53
216.58.222.36,32,75,53
216.58.222.36,32,63,53
216.58.222.36,32,63,53
216.58.222.36,32,64,53
NA,NA,NA,NA
216.58.222.36,32,74,53
216.58.222.36,32,65,53
216.58.222.36,32,254,53
216.58.222.36,32,67,53
216.58.222.36,32,334,53
216.58.222.36,32,93,53
216.58.222.36,32,114,53
216.58.222.36,32,76,53
216.58.222.36,32,95,53
216.58.222.36,32,66,53
216.58.222.36,32,65,53
216.58.222.36,32,64,53
216.58.222.36,32,63,53
216.58.222.36,32,67,53
216.58.222.36,32,64,53
216.58.222.36,32,67,53
216.58.222.36,32,67,53
216.58.222.36,32,193,53
216.58.222.36,32,129,53
216.58.222.36,32,107,53
177.43.170.95,32,8,59
177.43.170.95,32,17,59
177.43.170.95,32,16,59
177.43.170.95,32,7,59
177.43.170.95,32,8,59
177.43.170.95,32,7,59
177.43.170.95,32,18,59
177.43.170.95,32,16,59
177.43.170.95,32,11,59
177.43.170.95,32,16,59
177.43.170.95,32,16,59
177.43.170.95,32,16,59
177.43.170.95,32,7,59
177.43.170.95,32,8,59
177.43.170.95,32,17,59
177.43.170.95,32,8,59
177.43.170.95,32,16,59
177.43.170.95,32,7,59
177.43.170.95,32,7,59
177.43.170.95,32,16,59
177.43.170.95,32,8,59
177.43.170.95,32,7,59
177.43.170.95,32,15,59
177.43.170.95,32,7,59
177.43.170.95,32,7,59
177.43.170.95,32,7,59
177.43.170.95,32,7,59
177.43.170.95,32,7,59
177.43.170.95,32,16,59
177.43.170.95,32,16,59
177.43.170.95,32,16,59
177.43.170.95,32,16,59
177.43.170.95,32,8,59
177.43.170.95,32,8,59
177.43.170.95,32,8,59
177.43.170.95,32,7,59
177.43.170.95,32,15,59
177.43.170.95,32,17,59
177.43.170.95,32,16,59
177.43.170.95,32,15,59
177.43.170.95,32,8,59
177.43.170.95,32,7,59
177.43.170.95,32,8,59
177.43.170.95,32,7,59
177.43.170.95,32,17,59
177.43.170.95,32,7,59
177.43.170.95,32,9,59
177.43.170.95,32,7,59
177.43.170.95,32,7,59
177.43.170.95,32,16,59
177.43.170.95,32,17,59
177.43.170.95,32,18,59
177.43.170.95,32,17,59
177.43.170.95,32,7,59
177.43.170.95,32,18,59
177.43.170.95,32,7,59
177.43.170.95,32,17,59
177.43.170.95,32,16,59
177.43.170.95,32,10,59
177.43.170.95,32,7,59
177.43.170.95,32,16,59
177.43.170.95,32,16,59
177.43.170.95,32,10,59
177.43.170.95,32,7,59
177.43.170.95,32,8,59
177.43.170.95,32,7,59
177.43.170.95,32,18,59
177.43.170.95,32,12,59
177.43.170.95,32,7,59
177.43.170.95,32,17,59
177.43.170.95,32,11,59
177.43.170.95,32,16,59
177.43.170.95,32,8,59
177.43.170.95,32,18,59
177.43.170.95,32,17,59
177.43.170.95,32,7,59
177.43.170.95,32,17,59
177.43.170.95,32,16,59
177.43.170.95,32,16,59
177.43.170.95,32,8,59
177.43.170.95,32,7,59
177.43.170.95,32,8,59
177.43.170.95,32,7,59
177.43.170.95,32,7,59
177.43.170.95,32,7,59
177.43.170.95,32,7,59
177.43.170.95,32,16,59
177.43.170.95,32,7,59
177.43.170.95,32,15,59
177.43.170.95,32,8,59
177.43.170.95,32,16,59
177.43.170.95,32,15,59
177.43.170.95,32,8,59
177.43.170.95,32,7,59
177.43.170.95,32,15,59
177.43.170.95,32,7,59
177.43.170.95,32,7,59
177.43.170.95,32,11,59
177.43.170.95,32,7,59
177.43.170.95,32,7,59
216.58.222.36,32,66,51
216.58.222.36,32,65,51
216.58.222.36,32,65,51
NA,NA,NA,NA
216.58.222.36,32,65,51
NA,NA,NA,NA
216.58.222.36,32,66,51
216.58.222.36,32,65,51
216.58.222.36,32,65,51
216.58.222.36,32,66,51
216.58.222.36,32,66,51
216.58.222.36,32,66,51
216.58.222.36,32,66,51
216.58.222.36,32,65,51
216.58.222.36,32,66,51
216.58.222.36,32,65,51
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
216.58.222.36,32,66,51
216.58.222.36,32,66,51
216.58.222.36,32,66,51
216.58.222.36,32,66,51
216.58.222.36,32,66,51
216.58.222.36,32,68,51
216.58.222.36,32,65,51
216.58.222.36,32,66,51
216.58.222.36,32,67,51
NA,NA,NA,NA
216.58.222.36,32,66,51
216.58.222.36,32,67,51
216.58.222.36,32,65,51
NA,NA,NA,NA
216.58.222.36,32,65,51
NA,NA,NA,NA
216.58.222.36,32,66,51
NA,NA,NA,NA
216.58.222.36,32,66,51
216.58.222.36,32,66,51
216.58.222.36,32,65,51
216.58.222.36,32,66,51
216.58.222.36,32,66,51
NA,NA,NA,NA
NA,NA,NA,NA
216.58.222.36,32,66,51
216.58.222.36,32,66,51
