ip, bytes, time, TTL
216.58.222.36,64,65.493,52
216.58.222.36,64,65.960,52
216.58.222.36,64,68.024,52
216.58.222.36,64,70.340,52
216.58.222.36,64,84.205,52
216.58.222.36,64,65.421,52
216.58.222.36,64,68.259,52
216.58.222.36,64,65.614,52
216.58.222.36,64,66.121,52
216.58.222.36,64,68.670,52
216.58.222.36,64,66.073,52
216.58.222.36,64,66.135,52
216.58.222.36,64,65.437,52
216.58.222.36,64,68.345,52
216.58.222.36,64,68.159,52
216.58.222.36,64,70.758,52
216.58.222.36,64,68.468,52
216.58.222.36,64,66.700,52
216.58.222.36,64,68.600,52
216.58.222.36,64,70.268,52
216.58.222.36,64,68.767,52
216.58.222.36,64,68.319,52
216.58.222.36,64,68.465,52
216.58.222.36,64,66.122,52
216.58.222.36,64,66.911,52
216.58.222.36,64,68.259,52
216.58.222.36,64,68.455,52
216.58.222.36,64,69.249,52
216.58.222.36,64,68.382,52
216.58.222.36,64,66.597,52
216.58.222.36,64,68.705,52
216.58.222.36,64,65.792,52
216.58.222.36,64,69.194,52
216.58.222.36,64,68.708,52
216.58.222.36,64,68.459,52
216.58.222.36,64,65.804,52
216.58.222.36,64,69.130,52
216.58.222.36,64,68.254,52
216.58.222.36,64,68.234,52
216.58.222.36,64,68.054,52
216.58.222.36,64,68.450,52
216.58.222.36,64,68.056,52
216.58.222.36,64,68.361,52
216.58.222.36,64,65.898,52
216.58.222.36,64,65.433,52
216.58.222.36,64,65.564,52
216.58.222.36,64,65.891,52
216.58.222.36,64,66.234,52
216.58.222.36,64,67.920,52
216.58.222.36,64,68.619,52
216.58.222.36,64,66.196,52
216.58.222.36,64,66.223,52
216.58.222.36,64,68.545,52
216.58.222.36,64,66.246,52
216.58.222.36,64,66.066,52
216.58.222.36,64,68.939,52
216.58.222.36,64,68.457,52
216.58.222.36,64,68.215,52
216.58.222.36,64,68.482,52
216.58.222.36,64,66.252,52
216.58.222.36,64,66.641,52
216.58.222.36,64,71.306,52
216.58.222.36,64,65.831,52
216.58.222.36,64,70.956,52
216.58.222.36,64,66.669,52
216.58.222.36,64,72.653,52
216.58.222.36,64,65.719,52
216.58.222.36,64,68.545,52
216.58.222.36,64,68.636,52
216.58.222.36,64,65.217,52
216.58.222.36,64,65.722,52
216.58.222.36,64,65.479,52
216.58.222.36,64,68.558,52
216.58.222.36,64,67.979,52
216.58.222.36,64,68.610,52
216.58.222.36,64,69.090,52
216.58.222.36,64,68.483,52
216.58.222.36,64,65.947,52
216.58.222.36,64,65.551,52
216.58.222.36,64,66.001,52
216.58.222.36,64,66.343,52
216.58.222.36,64,65.651,52
216.58.222.36,64,71.028,52
216.58.222.36,64,65.768,52
216.58.222.36,64,65.393,52
216.58.222.36,64,65.491,52
216.58.222.36,64,66.161,52
216.58.222.36,64,68.054,52
216.58.222.36,64,67.954,52
216.58.222.36,64,66.268,52
216.58.222.36,64,68.659,52
216.58.222.36,64,68.205,52
216.58.222.36,64,67.624,52
216.58.222.36,64,68.792,52
216.58.222.36,64,69.135,52
216.58.222.36,64,68.637,52
216.58.222.36,64,65.851,52
216.58.222.36,64,67.477,52
216.58.222.36,64,66.399,52
216.58.222.36,64,65.186,52
216.58.222.36,64,71.090,52
216.58.222.36,64,68.504,52
216.58.222.36,64,66.446,52
216.58.222.36,64,66.188,52
216.58.222.36,64,67.879,52
216.58.222.36,64,77.304,52
216.58.222.36,64,84.118,52
216.58.222.36,64,69.138,52
216.58.222.36,64,68.699,52
216.58.222.36,64,78.734,52
216.58.222.36,64,72.225,52
216.58.222.36,64,72.699,52
216.58.222.36,64,68.892,52
216.58.222.36,64,69.103,52
216.58.222.36,64,68.847,52
216.58.222.36,64,68.020,52
216.58.222.36,64,68.082,52
216.58.222.36,64,65.573,52
216.58.222.36,64,77.487,52
216.58.222.36,64,88.428,52
216.58.222.36,64,80.174,52
216.58.222.36,64,73.884,52
216.58.222.36,64,68.319,52
216.58.222.36,64,87.249,52
216.58.222.36,64,68.048,52
216.58.222.36,64,66.037,52
216.58.222.36,64,65.365,52
216.58.222.36,64,65.938,52
216.58.222.36,64,65.625,52
216.58.222.36,64,68.258,52
216.58.222.36,64,66.031,52
216.58.222.36,64,68.154,52
216.58.222.36,64,65.826,52
216.58.222.36,64,68.708,52
216.58.222.36,64,68.161,52
216.58.222.36,64,65.821,52
216.58.222.36,64,65.437,52
216.58.222.36,64,65.707,52
216.58.222.36,64,69.848,52
216.58.222.36,64,68.210,52
216.58.222.36,64,67.810,52
216.58.222.36,64,66.317,52
216.58.222.36,64,68.525,52
NA,NA,NA,NA
NA,NA,NA,NA
216.58.222.36,64,68.855,52
216.58.222.36,64,68.929,52
216.58.222.36,64,67.894,52
216.58.222.36,64,68.261,52
216.58.222.36,64,68.948,52
216.58.222.36,64,65.900,52
216.58.222.36,64,65.463,52
216.58.222.36,64,65.954,52
216.58.222.36,64,68.956,52
216.58.222.36,64,66.329,52
216.58.222.36,64,65.328,52
216.58.222.36,64,66.231,52
216.58.222.36,64,68.256,52
216.58.222.36,64,68.784,52
216.58.222.36,64,68.052,52
216.58.222.36,64,68.264,52
216.58.222.36,64,65.722,52
216.58.222.36,64,68.338,52
216.58.222.36,64,68.427,52
216.58.222.36,64,68.283,52
216.58.222.36,64,68.604,52
216.58.222.36,64,69.491,52
216.58.222.36,64,68.872,52
216.58.222.36,64,68.181,52
216.58.222.36,64,65.844,52
216.58.222.36,64,66.018,52
216.58.222.36,64,65.764,52
216.58.222.36,64,68.777,52
216.58.222.36,64,68.871,52
216.58.222.36,64,69.523,52
216.58.222.36,64,69.121,52
216.58.222.36,64,68.723,52
216.58.222.36,64,68.455,52
216.58.222.36,64,68.274,52
216.58.222.36,64,68.745,52
216.58.222.36,64,68.236,52
216.58.222.36,64,68.126,52
216.58.222.36,64,66.730,52
216.58.222.36,64,67.994,52
216.58.222.36,64,68.151,52
216.58.222.36,64,68.079,52
216.58.222.36,64,68.802,52
216.58.222.36,64,68.426,52
216.58.222.36,64,65.367,52
216.58.222.36,64,68.450,52
216.58.222.36,64,65.489,52
216.58.222.36,64,68.287,52
216.58.222.36,64,68.694,52
216.58.222.36,64,65.967,52
216.58.222.36,64,65.603,52
216.58.222.36,64,68.738,52
216.58.222.36,64,68.201,52
216.58.222.36,64,65.256,52
216.58.222.36,64,65.475,52
216.58.222.36,64,65.319,52
216.58.222.36,64,65.786,52
216.58.222.36,64,69.206,52
216.58.222.36,64,65.941,52
216.58.222.36,64,65.526,52
216.58.222.36,64,68.225,52
216.58.222.36,64,65.561,52
216.58.222.36,64,65.548,52
216.58.222.36,64,66.046,52
216.58.222.36,64,65.359,52
216.58.222.36,64,65.379,52
216.58.222.36,64,65.865,52
216.58.222.36,64,65.747,52
216.58.222.36,64,65.739,52
216.58.222.36,64,66.000,52
216.58.222.36,64,68.332,52
216.58.222.36,64,65.552,52
216.58.222.36,64,65.765,52
216.58.222.36,64,65.634,52
216.58.222.36,64,65.602,52
216.58.222.36,64,65.750,52
216.58.222.36,64,66.242,52
216.58.222.36,64,65.962,52
216.58.222.36,64,69.361,52
216.58.222.36,64,66.783,52
216.58.222.36,64,66.089,52
216.58.222.36,64,65.828,52
216.58.222.36,64,69.763,52
216.58.222.36,64,65.802,52
216.58.222.36,64,65.899,52
216.58.222.36,64,67.885,52
216.58.222.36,64,66.142,52
216.58.222.36,64,65.720,52
216.58.222.36,64,65.478,52
216.58.222.36,64,65.493,52
216.58.222.36,64,68.774,52
216.58.222.36,64,65.742,52
216.58.222.36,64,65.843,52
216.58.222.36,64,65.488,52
216.58.222.36,64,65.710,52
216.58.222.36,64,65.331,52
216.58.222.36,64,65.821,52
216.58.222.36,64,65.902,52
216.58.222.36,64,66.268,52
216.58.222.36,64,65.403,52
216.58.222.36,64,65.243,52
216.58.222.36,64,65.495,52
216.58.222.36,64,65.657,52
216.58.222.36,64,66.038,52
216.58.222.36,64,66.184,52
216.58.222.36,64,68.990,52
216.58.222.36,64,65.855,52
216.58.222.36,64,65.480,52
216.58.222.36,64,66.175,52
216.58.222.36,64,65.933,52
216.58.222.36,64,67.267,52
216.58.222.36,64,65.990,52
216.58.222.36,64,65.864,52
216.58.222.36,64,65.523,52
216.58.222.36,64,65.870,52
216.58.222.36,64,65.483,52
216.58.222.36,64,65.705,52
216.58.222.36,64,69.820,52
216.58.222.36,64,65.406,52
216.58.222.36,64,65.821,52
216.58.222.36,64,65.621,52
216.58.222.36,64,66.082,52
216.58.222.36,64,65.838,52
216.58.222.36,64,66.179,52
216.58.222.36,64,66.802,52
216.58.222.36,64,66.021,52
216.58.222.36,64,66.032,52
216.58.222.36,64,66.646,52
216.58.222.36,64,66.112,52
216.58.222.36,64,66.792,52
216.58.222.36,64,66.452,52
216.58.222.36,64,69.045,52
216.58.222.36,64,66.336,52
